"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/27/2024","AirNow","360010012","1","0.022","ppm","20","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"01/28/2024","AirNow","360010012","1","0.026","ppm","24","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"01/29/2024","AirNow","360010012","1","0.029","ppm","27","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"01/30/2024","AirNow","360010012","1","0.026","ppm","24","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"02/01/2024","AirNow","360010012","1","0.014","ppm","13","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"02/02/2024","AirNow","360010012","1","0.026","ppm","24","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"02/03/2024","AirNow","360010012","1","0.032","ppm","30","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"02/04/2024","AirNow","360010012","1","0.036","ppm","33","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"02/05/2024","AirNow","360010012","1","0.042","ppm","39","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"02/06/2024","AirNow","360010012","1","0.036","ppm","33","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"02/07/2024","AirNow","360010012","1","0.035","ppm","32","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"02/08/2024","AirNow","360010012","1","0.031","ppm","29","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"02/09/2024","AirNow","360010012","1","0.03","ppm","28","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"02/10/2024","AirNow","360010012","1","0.032","ppm","30","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"02/11/2024","AirNow","360010012","1","0.027","ppm","25","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"02/12/2024","AirNow","360010012","1","0.029","ppm","27","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
"02/13/2024","AirNow","360010012","1","0.031","ppm","29","LOUDONVILLE","24","100.0000","44201","Ozone","10580","Albany-Schenectady-Troy, NY","36","New York","001","Albany","42.68075","-73.75733"
